Timestamp,Date,Hour,Day_of_Week,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Attack_Type,Severity,Country_of_Origin,Flow_Duration_ms,Total_Packets,Total_Bytes,Avg_Packet_Size,Packets_per_Second,Bytes_per_Second,Status,Alert_Generated,Confidence_Score,Session_ID
2024-01-07 23:17:00,2024-01-07,23,Sunday,192.168.4.58,36.52.44.152,28675,80,TCP,DDoS,Critical,Russia,121991,4140,222699,1189,994.27,649919.45,Allowed,Yes,0.79,SES-00001
2024-01-02 05:44:00,2024-01-02,5,Tuesday,192.168.7.88,72.79.110.246,51060,443,TCP,DoS slowloris,High,UK,50717,2941,2885409,1276,1322.68,43546.1,Blocked,No,0.96,SES-00002
2024-03-16 20:39:00,2024-03-16,20,Saturday,192.168.6.148,50.35.23.170,15959,443,TCP,BENIGN,None,USA,199305,2278,3803581,1341,4170.57,162737.83,Allowed,No,0.11,SES-00003
2024-06-28 21:41:00,2024-06-28,21,Friday,192.168.2.156,163.87.125.42,31318,3389,ICMP,DDoS,Critical,Canada,115151,2657,469341,509,4109.03,805065.3,Blocked,No,0.96,SES-00004
2024-03-21 06:41:00,2024-03-21,6,Thursday,192.168.8.102,165.234.73.68,10174,3306,ICMP,PortScan,Medium,Germany,391660,4789,3594063,1235,1997.06,219398.83,Missed,Yes,0.55,SES-00005
2024-01-29 04:40:00,2024-01-29,4,Monday,192.168.3.203,175.216.32.99,26033,3306,UDP,BENIGN,None,Canada,451306,95,961029,1436,4423.95,750902.71,Allowed,No,0.23,SES-00006
2024-03-16 13:10:00,2024-03-16,13,Saturday,192.168.8.1,185.134.91.130,60833,3389,ICMP,BENIGN,None,Canada,319285,1630,1282208,805,3812.58,539425.09,Allowed,No,0.23,SES-00007
2024-01-01 19:20:00,2024-01-01,19,Monday,192.168.8.5,29.185.157.62,4820,494,TCP,PortScan,Medium,USA,383740,3982,580696,1130,3829.2,128478.63,Blocked,Yes,0.63,SES-00008
2024-04-18 06:59:00,2024-04-18,6,Thursday,192.168.9.194,187.102.159.103,45043,25,ICMP,Bot,High,Australia,63451,2031,1884997,171,1690.49,588349.89,Blocked,Yes,0.54,SES-00009
2024-02-28 02:57:00,2024-02-28,2,Wednesday,192.168.1.221,85.36.121.72,44866,21,ICMP,DDoS,Critical,China,379255,4678,4833713,1008,1215.06,473025.65,Blocked,No,0.83,SES-00010
2024-04-15 14:55:00,2024-04-15,14,Monday,192.168.1.173,168.50.31.104,48748,443,TCP,BENIGN,None,Russia,99734,4394,3763343,327,2109.47,278617.29,Allowed,No,0.07,SES-00011
2024-04-23 17:06:00,2024-04-23,17,Tuesday,192.168.1.167,139.7.47.238,50409,22,UDP,Web Attack - XSS,Medium,Australia,252380,1752,3364269,160,823.27,2255.16,Blocked,Yes,0.89,SES-00012
2024-06-27 23:50:00,2024-06-27,23,Thursday,192.168.9.170,184.249.79.49,20469,80,ICMP,BENIGN,None,Canada,31969,2570,479637,142,2920.93,502900.1,Allowed,No,0.26,SES-00013
2024-05-10 02:54:00,2024-05-10,2,Friday,192.168.3.18,153.34.120.104,8880,505,ICMP,BENIGN,None,India,324744,672,3516813,1386,2918.4,522830.44,Allowed,No,0.28,SES-00014
2024-03-21 07:16:00,2024-03-21,7,Thursday,192.168.7.34,172.153.234.81,61908,80,UDP,BENIGN,None,South Korea,295180,820,614655,1141,1065.85,265273.89,Allowed,No,0.28,SES-00015
2024-03-03 11:18:00,2024-03-03,11,Sunday,192.168.3.113,214.154.4.171,54573,443,TCP,Bot,High,Germany,60527,877,4640876,358,1361.81,604869.34,Allowed,Yes,0.82,SES-00016
2024-05-05 08:57:00,2024-05-05,8,Sunday,192.168.1.24,163.216.141.12,1256,22,ICMP,BENIGN,None,Germany,84725,3620,4627930,1485,2138.49,9768.73,Allowed,No,0.02,SES-00017
2024-02-08 17:02:00,2024-02-08,17,Thursday,192.168.6.150,142.75.220.33,3765,8080,TCP,Bot,High,Brazil,110150,2045,862395,764,3900.6,884146.29,Blocked,Yes,0.58,SES-00018
2024-02-11 05:56:00,2024-02-11,5,Sunday,192.168.7.7,46.170.210.206,44927,3389,TCP,Web Attack - XSS,Medium,USA,200572,318,3948534,495,997.94,918460.06,Blocked,Yes,0.94,SES-00019
2024-06-17 06:25:00,2024-06-17,6,Monday,192.168.6.72,222.35.142.90,43064,3306,UDP,BENIGN,None,India,60482,2140,1498035,1229,4812.68,265539.82,Allowed,No,0.03,SES-00020
2024-03-21 13:38:00,2024-03-21,13,Thursday,192.168.9.30,99.97.130.12,47474,80,ICMP,DoS Hulk,High,Canada,360120,1615,3055411,923,349.96,664271.26,Blocked,Yes,0.92,SES-00021
2024-03-17 16:19:00,2024-03-17,16,Sunday,192.168.7.84,104.151.65.50,28578,22,ICMP,FTP-Patator,Medium,South Korea,157794,3327,4596530,40,1519.44,210261.67,Allowed,Yes,0.66,SES-00022
2024-06-21 06:32:00,2024-06-21,6,Friday,192.168.8.204,204.86.43.73,34804,443,TCP,DoS Hulk,High,Germany,117786,1632,1236194,90,231.16,983937.63,Allowed,Yes,0.73,SES-00023
2024-05-27 06:45:00,2024-05-27,6,Monday,192.168.7.127,103.124.75.168,46088,443,UDP,Bot,High,Russia,92225,4244,3897026,142,2787.07,917478.27,Blocked,No,0.73,SES-00024
2024-05-23 19:20:00,2024-05-23,19,Thursday,192.168.8.157,209.218.228.230,11454,25,UDP,PortScan,Medium,Russia,440340,2272,4373079,1032,3133.78,274669.99,Blocked,Yes,0.64,SES-00025
2024-05-18 02:08:00,2024-05-18,2,Saturday,192.168.3.60,99.78.109.17,28212,8080,ICMP,BENIGN,None,Australia,217995,511,1735152,900,1947.45,769818.79,Allowed,No,0.28,SES-00026
2024-05-27 12:30:00,2024-05-27,12,Monday,192.168.1.242,91.152.199.219,59458,3306,ICMP,BENIGN,None,Canada,419371,4942,1850112,1039,1097.19,435892.39,Allowed,No,0.01,SES-00027
2024-06-22 12:46:00,2024-06-22,12,Saturday,192.168.3.216,120.65.13.233,26846,443,ICMP,BENIGN,None,UK,71155,3783,1524553,142,1300.86,327419.93,Allowed,No,0.14,SES-00028
2024-04-07 08:48:00,2024-04-07,8,Sunday,192.168.7.65,214.41.240.5,50112,8080,TCP,BENIGN,None,USA,409601,330,260398,546,996.88,20477.98,Allowed,No,0.05,SES-00029
2024-06-20 03:36:00,2024-06-20,3,Thursday,192.168.4.120,180.131.188.43,40731,22,UDP,BENIGN,None,USA,303407,211,2616987,1219,3386.77,958177.02,Allowed,No,0.12,SES-00030
2024-01-20 18:44:00,2024-01-20,18,Saturday,192.168.4.27,179.154.61.204,65501,8080,ICMP,FTP-Patator,Medium,UK,346837,3036,578551,1076,3237.75,12750.88,Blocked,Yes,0.72,SES-00031
2024-04-27 22:09:00,2024-04-27,22,Saturday,192.168.7.46,188.138.247.120,29569,8080,TCP,BENIGN,None,USA,146248,3693,2045774,991,2849.29,668221.65,Allowed,No,0.1,SES-00032
2024-03-24 05:31:00,2024-03-24,5,Sunday,192.168.4.91,205.132.174.72,58716,3306,TCP,DoS Hulk,High,Canada,497067,1566,718273,534,3600.4,488628.99,Allowed,Yes,0.82,SES-00033
2024-01-05 02:18:00,2024-01-05,2,Friday,192.168.4.104,178.124.156.170,39136,25,ICMP,DoS Hulk,High,Canada,180237,3486,4617093,717,1759.12,453799.89,Blocked,Yes,0.86,SES-00034
2024-05-17 22:11:00,2024-05-17,22,Friday,192.168.4.56,190.247.141.186,39663,443,TCP,BENIGN,None,Germany,119276,2957,1505364,659,70.84,534181.68,Allowed,No,0.08,SES-00035
2024-05-21 09:44:00,2024-05-21,9,Tuesday,192.168.3.164,223.251.52.224,1827,25,UDP,Web Attack - Sql Injection,Critical,Australia,178638,1511,431079,557,4705.32,477781.41,Detected,Yes,0.54,SES-00036
2024-01-14 04:09:00,2024-01-14,4,Sunday,192.168.10.243,78.43.127.31,37597,853,ICMP,DDoS,Critical,South Korea,118335,4281,3190942,962,4542.53,297423.4,Allowed,Yes,0.78,SES-00037
2024-01-26 06:40:00,2024-01-26,6,Friday,192.168.4.68,170.41.80.62,12415,22,TCP,BENIGN,None,UK,236203,4865,3942011,636,163.3,288176.08,Allowed,No,0.08,SES-00038
2024-01-19 21:14:00,2024-01-19,21,Friday,192.168.5.202,203.101.217.30,36712,22,UDP,DoS slowloris,High,China,37449,489,1391961,669,2975.26,824257.88,Detected,Yes,0.73,SES-00039
2024-04-13 08:32:00,2024-04-13,8,Saturday,192.168.9.127,113.41.20.228,29337,661,UDP,BENIGN,None,India,47891,1876,4825219,1242,4753.94,999572.46,Allowed,No,0.2,SES-00040
2024-01-11 05:30:00,2024-01-11,5,Thursday,192.168.9.167,114.142.92.150,29590,443,UDP,BENIGN,None,Brazil,214102,2731,2693331,1412,523.09,160908.77,Allowed,No,0.12,SES-00041
2024-06-18 12:52:00,2024-06-18,12,Tuesday,192.168.9.10,117.45.161.65,22210,53,ICMP,DoS Hulk,High,India,344813,4445,3875438,886,271.12,518487.55,Allowed,Yes,0.72,SES-00042
2024-03-09 17:08:00,2024-03-09,17,Saturday,192.168.5.113,179.248.62.8,64800,22,UDP,BENIGN,None,Canada,7179,4525,3422573,230,1123.58,841421.54,Allowed,No,0.03,SES-00043
2024-06-14 04:31:00,2024-06-14,4,Friday,192.168.5.131,181.139.212.214,32645,21,UDP,Web Attack - XSS,Medium,Canada,75844,3143,1599055,1267,2541.25,879338.32,Detected,Yes,0.9,SES-00044
2024-05-09 08:52:00,2024-05-09,8,Thursday,192.168.1.73,186.152.250.222,10762,3306,UDP,DoS Hulk,High,Brazil,174304,4522,4558721,812,2276.78,321845.17,Blocked,Yes,0.79,SES-00045
2024-04-15 01:20:00,2024-04-15,1,Monday,192.168.8.181,208.195.197.254,44519,25,TCP,BENIGN,None,China,263355,4835,2785073,245,4370.96,440362.18,Allowed,No,0.16,SES-00046
2024-02-06 13:55:00,2024-02-06,13,Tuesday,192.168.3.20,121.135.173.160,46421,443,UDP,DoS Hulk,High,Canada,199244,2595,4093300,1148,179.59,68513.91,Allowed,Yes,1.0,SES-00047
2024-04-21 03:48:00,2024-04-21,3,Sunday,192.168.2.114,43.153.14.12,22282,3389,UDP,FTP-Patator,Medium,Brazil,225813,1193,2048576,1127,2060.32,681832.19,Blocked,No,0.8,SES-00048
2024-06-23 07:31:00,2024-06-23,7,Sunday,192.168.10.37,60.236.130.118,17757,25,UDP,BENIGN,None,Canada,82834,606,3705597,747,4938.26,299224.33,Allowed,No,0.29,SES-00049
2024-04-26 09:12:00,2024-04-26,9,Friday,192.168.7.219,124.54.121.98,38505,736,UDP,DDoS,Critical,Germany,11512,3243,2302608,56,2829.69,685830.91,Allowed,No,0.8,SES-00050
2024-03-14 07:38:00,2024-03-14,7,Thursday,192.168.6.57,163.97.128.174,50541,443,ICMP,DoS Hulk,High,India,161979,3612,279981,1226,1824.37,131498.67,Detected,Yes,0.71,SES-00051
